date | value
2013-04-27 | 137
2013-04-30 | 144.54
2013-05-03 | 103.3
2013-05-06 | 115.98
2013-05-09 | 113.35
2013-05-12 | 115.68
2013-05-15 | 112
2013-05-18 | 123.32
2013-05-21 | 122.02
2013-05-24 | 126.7
2013-05-27 | 133.5
2013-05-30 | 132.3
2013-06-02 | 129.3
2013-06-05 | 121.42
2013-06-08 | 111.5
2013-06-11 | 106.1
2013-06-10 | 100
2013-06-14 | 103.9
2013-06-17 | 99.9
2013-06-20 | 107.68
2013-06-23 | 108.35
2013-06-26 | 103.89
2013-06-29 | 94.65
2013-07-02 | 87
2013-07-05 | 80.04
2013-07-08 | 75
2013-07-11 | 87.9
2013-07-14 | 98
2013-07-17 | 97.05
2013-07-20 | 92
2013-07-23 | 91.99
2013-07-26 | 97
2013-07-29 | 98.7
2013-08-01 | 106.2
2013-08-04 | 104.95
2013-08-07 | 106.56
2013-08-10 | 102.8
2013-08-13 | 106.64
2013-08-16 | 98.08
2013-08-19 | 99.3
2013-08-22 | 110.43
2013-08-25 | 109.0
